county,precinct,office,district,candidate,party,votes
Dearborn,01-Caeser Creek 1,President,,Donald Trump,REP,111
Dearborn,02-Center 1,President,,Donald Trump,REP,139
Dearborn,03-Center 2,President,,Donald Trump,REP,246
Dearborn,04-Center 3,President,,Donald Trump,REP,218
Dearborn,05-Center 4,President,,Donald Trump,REP,223
Dearborn,06-Center 5,President,,Donald Trump,REP,292
Dearborn,07-Center 6,President,,Donald Trump,REP,326
Dearborn,08-Clay 1,President,,Donald Trump,REP,351
Dearborn,09-Clay 2,President,,Donald Trump,REP,264
Dearborn,10-Clay 3,President,,Donald Trump,REP,362
Dearborn,11-Harrison 1,President,,Donald Trump,REP,62
Dearborn,12-Harrison 2,President,,Donald Trump,REP,615
Dearborn,13-Harrison 3,President,,Donald Trump,REP,659
Dearborn,14-Jackson 1,President,,Donald Trump,REP,723
Dearborn,15-Kelso 1,President,,Donald Trump,REP,289
Dearborn,16-Kelso 2,President,,Donald Trump,REP,293
Dearborn,17-Kelso 3,President,,Donald Trump,REP,491
Dearborn,18-Lawrenceburg 1,President,,Donald Trump,REP,210
Dearborn,19-Lawrenceburg 2,President,,Donald Trump,REP,177
Dearborn,20-Lawrenceburg 3,President,,Donald Trump,REP,380
Dearborn,21-Lawrenceburg 4,President,,Donald Trump,REP,319
Dearborn,22-Greendale 1,President,,Donald Trump,REP,207
Dearborn,23-Greendale 2,President,,Donald Trump,REP,294
Dearborn,24-Greendale 3,President,,Donald Trump,REP,298
Dearborn,25-Greendale 4,President,,Donald Trump,REP,332
Dearborn,26-Greendale 5,President,,Donald Trump,REP,344
Dearborn,27-Lawrenceburg 8,President,,Donald Trump,REP,150
Dearborn,28-Lawrenceburg 9,President,,Donald Trump,REP,389
Dearborn,29-Logan 1,President,,Donald Trump,REP,832
Dearborn,30-Logan 2,President,,Donald Trump,REP,768
Dearborn,31-Manchester 1,President,,Donald Trump,REP,573
Dearborn,32-Manchester 2,President,,Donald Trump,REP,710
Dearborn,33-Miller 1,President,,Donald Trump,REP,669
Dearborn,34-Miller 2,President,,Donald Trump,REP,648
Dearborn,35-Miller 3,President,,Donald Trump,REP,570
Dearborn,36-Miller 4,President,,Donald Trump,REP,694
Dearborn,37-Miller 5,President,,Donald Trump,REP,397
Dearborn,38-Miller 6,President,,Donald Trump,REP,685
Dearborn,39-Miller 7,President,,Donald Trump,REP,513
Dearborn,40-Sparta 1,President,,Donald Trump,REP,178
Dearborn,41-Sparta 2,President,,Donald Trump,REP,473
Dearborn,42-Sparta 3,President,,Donald Trump,REP,289
Dearborn,43-Washington 1,President,,Donald Trump,REP,521
Dearborn,44-York 1,President,,Donald Trump,REP,430
Dearborn,45-Hogan 1,President,,Donald Trump,REP,399
Dearborn,Total,President,,Donald Trump,REP,18113
Dearborn,01-Caeser Creek 1,President,,Hillary Clinton,DEM,35
Dearborn,02-Center 1,President,,Hillary Clinton,DEM,73
Dearborn,03-Center 2,President,,Hillary Clinton,DEM,88
Dearborn,04-Center 3,President,,Hillary Clinton,DEM,85
Dearborn,05-Center 4,President,,Hillary Clinton,DEM,100
