county,precinct,office,district,candidate,party,votes
Switzerland,Cotton 1,Voters,,Registration,,854
Switzerland,Cotton 2,Voters,,Registration,,399
Switzerland,Craig 1,Voters,,Registration,,330
Switzerland,Craig 2,Voters,,Registration,,345
Switzerland,Jefferson 1,Voters,,Registration,,847
Switzerland,Jefferson 2,Voters,,Registration,,1148
Switzerland,Jefferson 3,Voters,,Registration,,598
Switzerland,Pleasant 1,Voters,,Registration,,273
Switzerland,Pleasant 2,Voters,,Registration,,633
Switzerland,Posey 1,Voters,,Registration,,549
Switzerland,Posey 2,Voters,,Registration,,681
Switzerland,York,Voters,,Registration,,803
Switzerland,,Voters,,Registration,,7460
Switzerland,Cotton 1,Voters,,Ballots Cast,,405
Switzerland,Cotton 2,Voters,,Ballots Cast,,220
Switzerland,Craig 1,Voters,,Ballots Cast,,188
Switzerland,Craig 2,Voters,,Ballots Cast,,208
Switzerland,Jefferson 1,Voters,,Ballots Cast,,413
Switzerland,Jefferson 2,Voters,,Ballots Cast,,609
Switzerland,Jefferson 3,Voters,,Ballots Cast,,311
Switzerland,Pleasant 1,Voters,,Ballots Cast,,149
Switzerland,Pleasant 2,Voters,,Ballots Cast,,336
Switzerland,Posey 1,Voters,,Ballots Cast,,215
Switzerland,Posey 2,Voters,,Ballots Cast,,369
Switzerland,York,Voters,,Ballots Cast,,396
Switzerland,,Voters,,Ballots Cast,,3819
Switzerland,Cotton 1,President,,Donald Trump,REP,258
Switzerland,Cotton 2,President,,Donald Trump,REP,153
Switzerland,Craig 1,President,,Donald Trump,REP,130
Switzerland,Craig 2,President,,Donald Trump,REP,145
Switzerland,Jefferson 1,President,,Donald Trump,REP,236
Switzerland,Jefferson 2,President,,Donald Trump,REP,387
Switzerland,Jefferson 3,President,,Donald Trump,REP,199
Switzerland,Pleasant 1,President,,Donald Trump,REP,102
Switzerland,Pleasant 2,President,,Donald Trump,REP,272
Switzerland,Posey 1,President,,Donald Trump,REP,140
Switzerland,Posey 2,President,,Donald Trump,REP,273
Switzerland,York,President,,Donald Trump,REP,263
Switzerland,,President,,Donald Trump,REP,2558
Switzerland,Cotton 1,President,,Hillary Clinton,DEM,109
Switzerland,Cotton 2,President,,Hillary Clinton,DEM,52
Switzerland,Craig 1,President,,Hillary Clinton,DEM,47
Switzerland,Craig 2,President,,Hillary Clinton,DEM,38
Switzerland,Jefferson 1,President,,Hillary Clinton,DEM,128
Switzerland,Jefferson 2,President,,Hillary Clinton,DEM,173
Switzerland,Jefferson 3,President,,Hillary Clinton,DEM,85
Switzerland,Pleasant 1,President,,Hillary Clinton,DEM,35
Switzerland,Pleasant 2,President,,Hillary Clinton,DEM,35
Switzerland,Posey 1,President,,Hillary Clinton,DEM,61
Switzerland,Posey 2,President,,Hillary Clinton,DEM,74
Switzerland,York,President,,Hillary Clinton,DEM,93
Switzerland,,President,,Hillary Clinton,DEM,930
Switzerland,Cotton 1,President,,Gary Johnson,LBT,27
Switzerland,Cotton 2,President,,Gary Johnson,LBT,6
Switzerland,Craig 1,President,,Gary Johnson,LBT,6
Switzerland,Craig 2,President,,Gary Johnson,LBT,16
Switzerland,Jefferson 1,President,,Gary Johnson,LBT,17
Switzerland,Jefferson 2,President,,Gary Johnson,LBT,19
Switzerland,Jefferson 3,President,,Gary Johnson,LBT,13
Switzerland,Pleasant 1,President,,Gary Johnson,LBT,5
Switzerland,Pleasant 2,President,,Gary Johnson,LBT,7
Switzerland,Posey 1,President,,Gary Johnson,LBT,10
Switzerland,Posey 2,President,,Gary Johnson,LBT,12
Switzerland,York,President,,Gary Johnson,LBT,23
Switzerland,,President,,Gary Johnson,LBT,161
Switzerland,Cotton 1,President,,Write-ins,,7
Switzerland,Cotton 2,President,,Write-ins,,2
Switzerland,Craig 1,President,,Write-ins,,0
Switzerland,Craig 2,President,,Write-ins,,0
Switzerland,Jefferson 1,President,,Write-ins,,19
Switzerland,Jefferson 2,President,,Write-ins,,14
Switzerland,Jefferson 3,President,,Write-ins,,3
Switzerland,Pleasant 1,President,,Write-ins,,2
Switzerland,Pleasant 2,President,,Write-ins,,9
Switzerland,Posey 1,President,,Write-ins,,2
Switzerland,Posey 2,President,,Write-ins,,5
Switzerland,York,President,,Write-ins,,7
Switzerland,,President,,Write-ins,,70
Switzerland,Cotton 1,U.S. Senate,,Todd Young,REP,226
Switzerland,Cotton 2,U.S. Senate,,Todd Young,REP,140
Switzerland,Craig 1,U.S. Senate,,Todd Young,REP,120
Switzerland,Craig 2,U.S. Senate,,Todd Young,REP,135
Switzerland,Jefferson 1,U.S. Senate,,Todd Young,REP,208
Switzerland,Jefferson 2,U.S. Senate,,Todd Young,REP,342
Switzerland,Jefferson 3,U.S. Senate,,Todd Young,REP,174
Switzerland,Pleasant 1,U.S. Senate,,Todd Young,REP,94
Switzerland,Pleasant 2,U.S. Senate,,Todd Young,REP,236
Switzerland,Posey 1,U.S. Senate,,Todd Young,REP,115
Switzerland,Posey 2,U.S. Senate,,Todd Young,REP,248
Switzerland,York,U.S. Senate,,Todd Young,REP,222
Switzerland,,U.S. Senate,,Todd Young,REP,2260
Switzerland,Cotton 1,U.S. Senate,,Evan Bayh,DEM,145
Switzerland,Cotton 2,U.S. Senate,,Evan Bayh,DEM,69
Switzerland,Craig 1,U.S. Senate,,Evan Bayh,DEM,58
Switzerland,Craig 2,U.S. Senate,,Evan Bayh,DEM,50
Switzerland,Jefferson 1,U.S. Senate,,Evan Bayh,DEM,166
Switzerland,Jefferson 2,U.S. Senate,,Evan Bayh,DEM,227
Switzerland,Jefferson 3,U.S. Senate,,Evan Bayh,DEM,112
Switzerland,Pleasant 1,U.S. Senate,,Evan Bayh,DEM,39
Switzerland,Pleasant 2,U.S. Senate,,Evan Bayh,DEM,66
Switzerland,Posey 1,U.S. Senate,,Evan Bayh,DEM,82
Switzerland,Posey 2,U.S. Senate,,Evan Bayh,DEM,98
Switzerland,York,U.S. Senate,,Evan Bayh,DEM,130
Switzerland,,U.S. Senate,,Evan Bayh,DEM,1242
Switzerland,Cotton 1,U.S. Senate,,Lucy Brenton,LBT,14
Switzerland,Cotton 2,U.S. Senate,,Lucy Brenton,LBT,5
Switzerland,Craig 1,U.S. Senate,,Lucy Brenton,LBT,4
Switzerland,Craig 2,U.S. Senate,,Lucy Brenton,LBT,12
Switzerland,Jefferson 1,U.S. Senate,,Lucy Brenton,LBT,15
Switzerland,Jefferson 2,U.S. Senate,,Lucy Brenton,LBT,19
Switzerland,Jefferson 3,U.S. Senate,,Lucy Brenton,LBT,8
Switzerland,Pleasant 1,U.S. Senate,,Lucy Brenton,LBT,5
Switzerland,Pleasant 2,U.S. Senate,,Lucy Brenton,LBT,15
Switzerland,Posey 1,U.S. Senate,,Lucy Brenton,LBT,12
