candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Bartholomew,Pct. 0100,,,,1125
,Ballots Cast,,,Bartholomew,Pct. 0100,243,240,0,483
Mike Braun,U.S. Senate,,R,Bartholomew,Pct. 0100,89,81,0,170
Joe Donnelly,U.S. Senate,,D,Bartholomew,Pct. 0100,139,138,0,277
Lucy M Brenton,U.S. Senate,,L,Bartholomew,Pct. 0100,12,14,0,27
Write in,U.S. Senate,,,Bartholomew,Pct. 0100,0,0,0,0
Connie Lawson,Secretary of State,,R,Bartholomew,Pct. 0100,107,95,0,202
Jim Harper,Secretary of State,,D,Bartholomew,Pct. 0100,116,124,0,240
Mark W. Rutherford,Secretary of State,,L,Bartholomew,Pct. 0100,10,14,0,24
Write in,Secretary of State,,,Bartholomew,Pct. 0100,0,0,0,0
Tera Klutz,Auditor of State,,R,Bartholomew,Pct. 0100,106,93,0,199
Joselyn Whitticker,Auditor of State,,D,Bartholomew,Pct. 0100,113,126,0,239
John Schick,Auditor of State,,L,Bartholomew,Pct. 0100,10,13,0,23
Kelly Mitchell,Treasurer of State,,R,Bartholomew,Pct. 0100,112,99,0,211
John C. Aguilera,Treasurer of State,,D,Bartholomew,Pct. 0100,116,133,0,249
Greg Pence,U.S. House,6,R,Bartholomew,Pct. 0100,102,80,0,182
Jeannine Lee Lake,U.S. House,6,D,Bartholomew,Pct. 0100,134,146,0,280
Tom Ferkinhoff,U.S. House,6,L,Bartholomew,Pct. 0100,4,11,0,15
Write in,U.S. House,6,,Bartholomew,Pct. 0100,0,0,0,0
Ryan Lauer,State Representative,59,R,Bartholomew,Pct. 0100,97,79,0,176
Dale Nowin,State Representative,59,D,Bartholomew,Pct. 0100,128,147,0,275
Clyde D Myers,State Representative,59,L,Bartholomew,Pct. 0100,16,10,0,26
,Registered Voters,,,Bartholomew,Pct. 0200,,,,1369
,Ballots Cast,,,Bartholomew,Pct. 0200,479,353,0,832
Mike Braun,U.S. Senate,,R,Bartholomew,Pct. 0200,272,169,0,441
Joe Donnelly,U.S. Senate,,D,Bartholomew,Pct. 0200,180,175,0,355
Lucy M Brenton,U.S. Senate,,L,Bartholomew,Pct. 0200,21,6,0,27
Write in,U.S. Senate,,,Bartholomew,Pct. 0200,0,0,0,0
Connie Lawson,Secretary of State,,R,Bartholomew,Pct. 0200,300,188,0,488
Jim Harper,Secretary of State,,D,Bartholomew,Pct. 0200,143,147,0,290
Mark W. Rutherford,Secretary of State,,L,Bartholomew,Pct. 0200,18,10,0,28
Write in,Secretary of State,,,Bartholomew,Pct. 0200,0,0,0,0
Tera Klutz,Auditor of State,,R,Bartholomew,Pct. 0200,294,188,0,482
Joselyn Whitticker,Auditor of State,,D,Bartholomew,Pct. 0200,143,147,0,290
John Schick,Auditor of State,,L,Bartholomew,Pct. 0200,19,8,0,27
Kelly Mitchell,Treasurer of State,,R,Bartholomew,Pct. 0200,318,192,0,510
John C. Aguilera,Treasurer of State,,D,Bartholomew,Pct. 0200,138,151,0,289
Greg Pence,U.S. House,6,R,Bartholomew,Pct. 0200,287,174,0,461
Jeannine Lee Lake,U.S. House,6,D,Bartholomew,Pct. 0200,165,167,0,332
Tom Ferkinhoff,U.S. House,6,L,Bartholomew,Pct. 0200,17,8,0,25
Write in,U.S. House,6,,Bartholomew,Pct. 0200,0,0,0,0
Ryan Lauer,State Representative,59,R,Bartholomew,Pct. 0200,282,160,0,442
Dale Nowin,State Representative,59,D,Bartholomew,Pct. 0200,182,181,0,363
Clyde D Myers,State Representative,59,L,Bartholomew,Pct. 0200,12,6,0,18
,Registered Voters,,,Bartholomew,Pct. 0225,,,,1215
,Ballots Cast,,,Bartholomew,Pct. 0225,379,221,0,600
Mike Braun,U.S. Senate,,R,Bartholomew,Pct. 0225,198,109,0,307
Joe Donnelly,U.S. Senate,,D,Bartholomew,Pct. 0225,157,108,0,265
Lucy M Brenton,U.S. Senate,,L,Bartholomew,Pct. 0225,21,4,0,25
Write in,U.S. Senate,,,Bartholomew,Pct. 0225,2,0,0,2
Connie Lawson,Secretary of State,,R,Bartholomew,Pct. 0225,199,114,0,313
Jim Harper,Secretary of State,,D,Bartholomew,Pct. 0225,135,100,0,235
Mark W. Rutherford,Secretary of State,,L,Bartholomew,Pct. 0225,32,4,0,36
Write in,Secretary of State,,,Bartholomew,Pct. 0225,1,0,0,1
