candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Jay,Wayne 3,,,,1100
,Ballots Cast,,,Jay,Wayne 3,275,172,0,447
Mike Braun,U.S. Senate,,R,Jay,Wayne 3,166,94,0,260
Joe Donnelly,U.S. Senate,,D,Jay,Wayne 3,88,60,0,148
Lucy M Brenton,U.S. Senate,,L,Jay,Wayne 3,15,13,0,28
Write in,U.S. Senate,,,Jay,Wayne 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Jay,Wayne 3,189,111,0,300
Jim Harper,Secretary of State,,D,Jay,Wayne 3,69,53,0,122
Mark W. Rutherford,Secretary of State,,L,Jay,Wayne 3,7,3,0,10
Write in,Secretary of State,,,Jay,Wayne 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Jay,Wayne 3,178,112,0,290
Joselyn Whitticker,Auditor of State,,D,Jay,Wayne 3,80,49,0,129
John Schick,Auditor of State,,L,Jay,Wayne 3,4,6,0,10
Kelly Mitchell,Treasurer of State,,R,Jay,Wayne 3,191,117,0,308
John C. Aguilera,Treasurer of State,,D,Jay,Wayne 3,72,48,0,120
Jim Banks,U.S. House,3,R,Jay,Wayne 3,192,118,0,310
Courtney Tritch,U.S. House,3,D,Jay,Wayne 3,75,51,0,126
Write in,US House,3,,Jay,Wayne 3,0,0,0,0
John (J.D) Prescott,State Representative,33,R ,Jay,Wayne 3,183,106,0,289
Shon Byrum,State Representative,33,D,Jay,Wayne 3,76,59,0,135
Dale Amett,State Representative,33,L,Jay,Wayne 3,9,5,0,14
,Registered Voters,,,Jay,Wayne 1,,,,941
,Ballots Cast,,,Jay,Wayne 1,228,239,0,467
Mike Braun,U.S. Senate,,R,Jay,Wayne 1,138,128,0,266
Joe Donnelly,U.S. Senate,,D,Jay,Wayne 1,63,92,0,155
Lucy M Brenton,U.S. Senate,,L,Jay,Wayne 1,23,10,0,33
Write in,U.S. Senate,,,Jay,Wayne 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Jay,Wayne 1,153,131,0,284
Jim Harper,Secretary of State,,D,Jay,Wayne 1,54,89,0,143
Mark W. Rutherford,Secretary of State,,L,Jay,Wayne 1,18,7,0,25
Write in,Secretary of State,,,Jay,Wayne 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Jay,Wayne 1,144,131,0,275
Joselyn Whitticker,Auditor of State,,D,Jay,Wayne 1,57,86,0,143
John Schick,Auditor of State,,L,Jay,Wayne 1,22,11,0,33
Kelly Mitchell,Treasurer of State,,R,Jay,Wayne 1,160,139,0,299
John C. Aguilera,Treasurer of State,,D,Jay,Wayne 1,63,89,0,152
Jim Banks,U.S. House,3,R,Jay,Wayne 1,156,137,0,293
Courtney Tritch,U.S. House,3,D,Jay,Wayne 1,69,90,0,159
Write in,US House,3,,Jay,Wayne 1,0,0,0,0
John (J.D) Prescott,State Representative,33,R ,Jay,Wayne 1,144,138,0,282
Shon Byrum,State Representative,33,D,Jay,Wayne 1,62,92,0,154
Dale Amett,State Representative,33,L,Jay,Wayne 1,18,3,0,21
,Registered Voters,,,Jay,Noble,,,,381
,Ballots Cast,,,Jay,Noble,139,95,0,234
Mike Braun,U.S. Senate,,R,Jay,Noble,113,70,0,183
Joe Donnelly,U.S. Senate,,D,Jay,Noble,17,20,0,37
Lucy M Brenton,U.S. Senate,,L,Jay,Noble,7,1,0,8
Write in,U.S. Senate,,,Jay,Noble,0,0,0,0
Connie Lawson,Secretary of State,,R,Jay,Noble,111,72,0,183
Jim Harper,Secretary of State,,D,Jay,Noble,18,16,0,34
Mark W. Rutherford,Secretary of State,,L,Jay,Noble,6,1,0,7
Write in,Secretary of State,,,Jay,Noble,0,0,0,0
Tera Klutz,Auditor of State,,R,Jay,Noble,106,71,0,177
Joselyn Whitticker,Auditor of State,,D,Jay,Noble,22,20,0,42
John Schick,Auditor of State,,L,Jay,Noble,7,1,0,8
Kelly Mitchell,Treasurer of State,,R,Jay,Noble,117,71,0,188
John C. Aguilera,Treasurer of State,,D,Jay,Noble,18,19,0,37
Jim Banks,U.S. House,3,R,Jay,Noble,114,77,0,191
Courtney Tritch,U.S. House,3,D,Jay,Noble,21,15,0,36
Write in,US House,3,,Jay,Noble,0,0,0,0
John (J.D) Prescott,State Representative,33,R ,Jay,Noble,113,76,0,189
Shon Byrum,State Representative,33,D,Jay,Noble,20,16,0,36
Dale Amett,State Representative,33,L,Jay,Noble,5,0,0,5
,Registered Voters,,,Jay,Dunkirk 3,,,,716
,Ballots Cast,,,Jay,Dunkirk 3,277,68,0,345
Mike Braun,U.S. Senate,,R,Jay,Dunkirk 3,142,38,0,180
Joe Donnelly,U.S. Senate,,D,Jay,Dunkirk 3,118,28,0,146
Lucy M Brenton,U.S. Senate,,L,Jay,Dunkirk 3,12,1,0,13
Write in,U.S. Senate,,,Jay,Dunkirk 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Jay,Dunkirk 3,152,38,0,190
Jim Harper,Secretary of State,,D,Jay,Dunkirk 3,114,27,0,141
Mark W. Rutherford,Secretary of State,,L,Jay,Dunkirk 3,5,2,0,7
Write in,Secretary of State,,,Jay,Dunkirk 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Jay,Dunkirk 3,148,37,0,185
Joselyn Whitticker,Auditor of State,,D,Jay,Dunkirk 3,113,28,0,141
John Schick,Auditor of State,,L,Jay,Dunkirk 3,7,2,0,9
Kelly Mitchell,Treasurer of State,,R,Jay,Dunkirk 3,156,41,0,197
John C. Aguilera,Treasurer of State,,D,Jay,Dunkirk 3,112,26,0,138
Jim Banks,U.S. House,3,R,Jay,Dunkirk 3,160,37,0,197
Courtney Tritch,U.S. House,3,D,Jay,Dunkirk 3,112,29,0,141
Write in,US House,3,,Jay,Dunkirk 3,0,0,0,0
John (J.D) Prescott,State Representative,33,R ,Jay,Dunkirk 3,148,37,0,185
Shon Byrum,State Representative,33,D,Jay,Dunkirk 3,121,28,0,149
Dale Amett,State Representative,33,L,Jay,Dunkirk 3,4,1,0,5
,Registered Voters,,,Jay,Dunkirk 1,,,,636
,Ballots Cast,,,Jay,Dunkirk 1,244,55,0,299
Mike Braun,U.S. Senate,,R,Jay,Dunkirk 1,113,33,0,146
Joe Donnelly,U.S. Senate,,D,Jay,Dunkirk 1,101,21,0,122
Lucy M Brenton,U.S. Senate,,L,Jay,Dunkirk 1,24,1,0,25
Write in,U.S. Senate,,,Jay,Dunkirk 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Jay,Dunkirk 1,130,34,0,164
Jim Harper,Secretary of State,,D,Jay,Dunkirk 1,96,21,0,117
Mark W. Rutherford,Secretary of State,,L,Jay,Dunkirk 1,12,0,0,12
Write in,Secretary of State,,,Jay,Dunkirk 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Jay,Dunkirk 1,128,34,0,162
Joselyn Whitticker,Auditor of State,,D,Jay,Dunkirk 1,94,21,0,115
John Schick,Auditor of State,,L,Jay,Dunkirk 1,14,0,0,14
Kelly Mitchell,Treasurer of State,,R,Jay,Dunkirk 1,135,34,0,169
John C. Aguilera,Treasurer of State,,D,Jay,Dunkirk 1,99,21,0,120
Jim Banks,U.S. House,3,R,Jay,Dunkirk 1,135,34,0,169
Courtney Tritch,U.S. House,3,D,Jay,Dunkirk 1,102,21,0,123
Write in,US House,3,,Jay,Dunkirk 1,0,0,0,0
John (J.D) Prescott,State Representative,33,R ,Jay,Dunkirk 1,124,32,0,156
Shon Byrum,State Representative,33,D,Jay,Dunkirk 1,108,21,0,129
Dale Amett,State Representative,33,L,Jay,Dunkirk 1,7,1,0,8
,Registered Voters,,,Jay,Knox,,,,294
,Ballots Cast,,,Jay,Knox,116,45,0,161
Mike Braun,U.S. Senate,,R,Jay,Knox,83,28,0,111
Joe Donnelly,U.S. Senate,,D,Jay,Knox,27,10,0,37
Lucy M Brenton,U.S. Senate,,L,Jay,Knox,3,6,0,9
Write in,U.S. Senate,,,Jay,Knox,0,0,0,0
Connie Lawson,Secretary of State,,R,Jay,Knox,85,32,0,117
Jim Harper,Secretary of State,,D,Jay,Knox,20,9,0,29
Mark W. Rutherford,Secretary of State,,L,Jay,Knox,6,3,0,9
Write in,Secretary of State,,,Jay,Knox,0,0,0,0
Tera Klutz,Auditor of State,,R,Jay,Knox,85,31,0,116
Joselyn Whitticker,Auditor of State,,D,Jay,Knox,28,10,0,38
John Schick,Auditor of State,,L,Jay,Knox,1,3,0,4
Kelly Mitchell,Treasurer of State,,R,Jay,Knox,92,34,0,126
John C. Aguilera,Treasurer of State,,D,Jay,Knox,22,9,0,31
Jim Banks,U.S. House,3,R,Jay,Knox,88,30,0,118
Courtney Tritch,U.S. House,3,D,Jay,Knox,27,13,0,40
Write in,US House,3,,Jay,Knox,0,0,0,0
John (J.D) Prescott,State Representative,33,R ,Jay,Knox,91,29,0,120
Shon Byrum,State Representative,33,D,Jay,Knox,23,12,0,35
Dale Amett,State Representative,33,L,Jay,Knox,2,2,0,4
,Registered Voters,,,Jay,Greene,,,,647
,Ballots Cast,,,Jay,Greene,209,206,0,415
Mike Braun,U.S. Senate,,R,Jay,Greene,136,137,0,273
Joe Donnelly,U.S. Senate,,D,Jay,Greene,49,54,0,103
Lucy M Brenton,U.S. Senate,,L,Jay,Greene,20,11,0,31
Write in,U.S. Senate,,,Jay,Greene,0,0,0,0
Connie Lawson,Secretary of State,,R,Jay,Greene,161,153,0,314
Jim Harper,Secretary of State,,D,Jay,Greene,37,39,0,76
Mark W. Rutherford,Secretary of State,,L,Jay,Greene,6,7,0,13
Write in,Secretary of State,,,Jay,Greene,0,0,0,0
Tera Klutz,Auditor of State,,R,Jay,Greene,151,144,0,295
Joselyn Whitticker,Auditor of State,,D,Jay,Greene,44,42,0,86
John Schick,Auditor of State,,L,Jay,Greene,8,11,0,19
Kelly Mitchell,Treasurer of State,,R,Jay,Greene,166,154,0,320
John C. Aguilera,Treasurer of State,,D,Jay,Greene,35,42,0,77
Jim Banks,U.S. House,3,R,Jay,Greene,158,153,0,311
Courtney Tritch,U.S. House,3,D,Jay,Greene,45,49,0,94
Write in,US House,3,,Jay,Greene,0,0,0,0
