county,precinct,office,district,seats,party,candidate,votes
Martin,Crane,President,,1,,Write-In,0
Martin,Crane,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,0
Martin,Crane,President,,1,REP,Donald J. TRUMP / JD Vance,66
Martin,Crane,President,,1,DEM,Kamala D. HARRIS / Tim Walz,27
Martin,Crane,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,1
Martin,Crane,U.S. Senate,,1,LBT,Andrew HORNING,3
Martin,Crane,U.S. Senate,,1,,Write-In,0
Martin,Crane,U.S. Senate,,1,REP,Jim BANKS,64
Martin,Crane,U.S. Senate,,1,DEM,Valerie McCRAY,26
Martin,Crane,U.S. House,8,1,DEM,Erik HURT,23
Martin,Crane,U.S. House,8,1,LBT,K Richard FITZLAFF,6
Martin,Crane,U.S. House,8,1,REP,Mark MESSMER,65
Martin,Crane,Governor,,1,,Write-In,0
Martin,Crane,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,5
Martin,Crane,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,30
Martin,Crane,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,58
Martin,Crane,Attorney General,,1,DEM,Destiny WELLS,27
Martin,Crane,Attorney General,,1,REP,Todd ROKITA,67
Martin,Crane,County Auditor,,1,DEM,Michelle NORRIS,50
Martin,Crane,County Commissioner,1,1,REP,Retha WARNER,74
Martin,Crane,County Commissioner,3,1,REP,Aaron Moose SUMMERS,57
Martin,Crane,County Commissioner,3,1,IND,Jason B McCOY,22
Martin,Crane,County Coroner,,1,REP,Tony ABEL,74
Martin,Crane,County Recorder,,1,REP,Sheri CRANDALL,76
Martin,Crane,County Surveyor,,1,REP,Nathan Dale HOFFMAN,74
Martin,Crane,County Treasurer,,1,REP,Rhonda SANDERS,75
Martin,Crane,County Council,At Large,3,REP,Gerald D MONTGOMERY,35
Martin,Crane,County Council,At Large,3,REP,Jim WOODY,37
Martin,Crane,County Council,At Large,3,REP,Warren D ALBRIGHT,40
Martin,East Memphis,President,,1,,Write-In,0
Martin,East Memphis,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,0
Martin,East Memphis,President,,1,REP,Donald J. TRUMP / JD Vance,67
Martin,East Memphis,President,,1,DEM,Kamala D. HARRIS / Tim Walz,14
Martin,East Memphis,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,1
Martin,East Memphis,U.S. Senate,,1,LBT,Andrew HORNING,1
Martin,East Memphis,U.S. Senate,,1,,Write-In,0
Martin,East Memphis,U.S. Senate,,1,REP,Jim BANKS,58
Martin,East Memphis,U.S. Senate,,1,DEM,Valerie McCRAY,18
Martin,East Memphis,U.S. House,8,1,DEM,Erik HURT,16
Martin,East Memphis,U.S. House,8,1,LBT,K Richard FITZLAFF,3
Martin,East Memphis,U.S. House,8,1,REP,Mark MESSMER,59
Martin,East Memphis,Governor,,1,,Write-In,0
Martin,East Memphis,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,12
Martin,East Memphis,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,16
Martin,East Memphis,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,52
Martin,East Memphis,Attorney General,,1,DEM,Destiny WELLS,17
Martin,East Memphis,Attorney General,,1,REP,Todd ROKITA,60
Martin,East Memphis,County Auditor,,1,DEM,Michelle NORRIS,50
Martin,East Memphis,County Commissioner,1,1,REP,Retha WARNER,67
Martin,East Memphis,County Commissioner,3,1,REP,Aaron Moose SUMMERS,52
Martin,East Memphis,County Commissioner,3,1,IND,Jason B McCOY,29
Martin,East Memphis,County Coroner,,1,REP,Tony ABEL,69
Martin,East Memphis,County Recorder,,1,REP,Sheri CRANDALL,64
Martin,East Memphis,County Surveyor,,1,REP,Nathan Dale HOFFMAN,68
Martin,East Memphis,County Treasurer,,1,REP,Rhonda SANDERS,62
Martin,East Memphis,County Council,At Large,3,REP,Gerald D MONTGOMERY,33
Martin,East Memphis,County Council,At Large,3,REP,Jim WOODY,38
Martin,East Memphis,County Council,At Large,3,REP,Warren D ALBRIGHT,44
Martin,Lost River,President,,1,,Write-In,0
Martin,Lost River,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,3
Martin,Lost River,President,,1,REP,Donald J. TRUMP / JD Vance,223
Martin,Lost River,President,,1,DEM,Kamala D. HARRIS / Tim Walz,35
Martin,Lost River,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,3
Martin,Lost River,U.S. Senate,,1,LBT,Andrew HORNING,9
Martin,Lost River,U.S. Senate,,1,,Write-In,0
Martin,Lost River,U.S. Senate,,1,REP,Jim BANKS,205
Martin,Lost River,U.S. Senate,,1,DEM,Valerie McCRAY,46
Martin,Lost River,U.S. House,8,1,DEM,Erik HURT,35
